 ,Area,Mean,Min,Max,Angle,Length
1,154.240,245.888,138,255,90.000,192.000
2,149.120,254.146,176,255,90.000,185.600
3,108.160,249.521,151,255,90.000,134.400
4,178.560,253.534,152,255,90.000,222.400
5,210.560,253.757,189,255,90.000,262.400
6,165.120,250.810,179,255,90.000,205.600
7,163.200,227.984,105,255,90.000,203.200
8,232.319,254.656,196,255,90.000,289.600
9,132.480,248.995,148,255,90.000,164.800
10,122.240,251.529,124,255,90.000,152.000
11,204.160,252.119,158,255,90.000,254.400
12,181.120,253.880,196,255,90.000,225.600
13,144.000,237.747,137,255,91.023,179.228
14,119.680,250.364,126,255,90.000,148.800
15,183.680,253.178,176,255,90.000,228.800
16,158.080,251.781,173,255,90.000,196.800
